id,coin,direction,entry,stop,tp1,tp2,score,timeframe,strategy,status,opened_at,closed_at,exit_price,pnl_pct,tp1_hit,realized_pct
1,SOL/USDT,SHORT,73.62,74.97742857,70.90514286,69.54771429,100,1h,ICT,LOSS,2026-06-30 09:30:43,2026-07-01 03:00:46,74.97742857,-1.84,0,0.0
2,HYPE/USDT,SHORT,65.17,66.66185714,62.18628571,60.69442857,100,1h,ICT,WIN,2026-06-30 09:30:43,2026-07-01 21:00:52,62.18628571,4.58,0,0.0
3,ZEC/USDT,SHORT,392.66,401.08771429,375.80457143,367.37685714,100,1h,ICT,LOSS,2026-06-30 12:00:51,2026-06-30 15:00:52,401.08771429,-2.15,0,0.0
4,AVAX/USDT,SHORT,6.396,6.65528571,5.87742857,5.61814286,100,1h,ICT,LOSS,2026-06-30 13:00:51,2026-07-01 04:00:51,6.65528571,-4.05,0,0.0
5,DOGE/USDT,SHORT,0.07072,0.07271957,0.06672086,0.06472129,100,1h,ICT,LOSS,2026-06-30 14:00:56,2026-07-01 05:00:53,0.07271957,-2.83,0,0.0
6,HBAR/USDT,SHORT,0.06975,0.07126286,0.06672429,0.06521143,100,1h,ICT,LOSS,2026-06-30 19:00:53,2026-07-01 16:01:00,0.07126286,-2.17,0,0.0
7,ZEC/USDT,SHORT,392.61,403.30614286,371.21771429,360.52157143,100,1h,ICT,LOSS,2026-06-30 23:00:45,2026-07-01 05:00:53,403.30614286,-2.72,0,0.0
8,XLM/USDT,LONG,0.18922,0.18159386,0.20447229,0.21209843,85,1h,ICT,WIN,2026-07-01 00:00:48,2026-07-01 03:00:46,0.20447229,8.06,0,0.0
9,XLM/USDT,LONG,0.2074,0.181346,0.259508,0.285562,85,1h,ICT,LOSS,2026-07-01 03:00:46,2026-07-08 13:01:22,0.181346,-12.56,0,0.0
10,HBAR/USDT,LONG,0.07014,0.06901129,0.07239743,0.07352614,78,1h,ICT,LOSS,2026-07-01 03:00:46,2026-07-01 08:00:48,0.06901129,-1.61,0,0.0
11,XLM/USDT,LONG,0.20352,0.17269786,0.26516429,0.29598643,85,4h,ICT,OPEN,2026-07-01 04:00:52,,,,0,0.0
12,SOL/USDT,LONG,76.89,74.12342857,82.42314286,85.18971429,85,1h,ICT,WIN,2026-07-01 15:00:59,2026-07-02 12:00:54,82.42314286,7.2,0,0.0
13,ADA/USDT,LONG,0.15535,0.14890386,0.16824229,0.17468843,82,1h,ICT,WIN,2026-07-01 15:00:59,2026-07-03 03:00:51,0.16824229,8.3,0,0.0
14,SOL/USDT,LONG,77.41,71.91185714,88.40628571,93.90442857,85,4h,ICT,OPEN,2026-07-01 16:01:01,,,,0,0.0
15,BCH/USDT,LONG,216.0,195.67571429,256.64857143,276.97285714,85,4h,ICT,OPEN,2026-07-01 16:01:01,,,,0,0.0
16,ZEC/USDT,LONG,421.46,407.94542857,448.48914286,462.00371429,82,1h,ICT,WIN,2026-07-01 23:00:57,2026-07-02 12:00:54,448.48914286,6.41,0,0.0
17,XLM/USDT,SHORT,0.19406,0.20384329,0.17449343,0.16471014,100,1h,ICT,LOSS,2026-07-02 01:00:51,2026-07-02 15:00:56,0.20384329,-5.04,0,0.0
18,NEAR/USDT,LONG,1.879,1.80101429,2.03497143,2.11295714,85,1h,ICT,WIN,2026-07-02 02:00:48,2026-07-03 13:00:57,2.03497143,8.3,0,0.0
19,HBAR/USDT,LONG,0.073,0.07137271,0.07625457,0.07788186,82,1h,ICT,LOSS,2026-07-02 02:00:48,2026-07-02 22:00:55,0.07137271,-2.23,0,0.0
20,SUI/USDT,LONG,0.7327,0.7327,0.77928,0.80257,82,1h,ICT,WIN,2026-07-02 05:00:52,2026-07-06 13:01:03,0.7327,3.18,1,3.1787
21,SUI/USDT,LONG,0.7265,0.67570143,0.82809714,0.87889571,85,4h,ICT,OPEN,2026-07-02 08:00:59,,,,0,0.0
22,ETH/USDT,LONG,1645.03,1611.73614286,1711.61771429,1744.91157143,85,1h,ICT,WIN,2026-07-02 10:00:54,2026-07-02 14:00:56,1711.61771429,4.05,0,0.0
23,BTC/USDT,LONG,61190.43,61190.43,63545.79685714,64723.48028571,82,1h,ICT,WIN,2026-07-02 10:00:54,2026-07-10 18:01:07,63817.5,4.07,1,1.9246
24,BTC/USDT,LONG,61376.6,59398.675,65332.45,67310.375,85,4h,ICT,OPEN,2026-07-02 12:00:55,,,,0,0.0
25,SOL/USDT,LONG,82.45,77.48014286,92.38971429,97.35957143,85,1h,ICT,LOSS,2026-07-02 12:00:55,2026-07-08 09:01:14,77.48014286,-6.03,0,0.0
26,ZEC/USDT,LONG,448.96,448.96,511.724,543.106,85,1h,ICT,WIN,2026-07-02 12:00:55,2026-07-10 20:00:56,505.57,13.29,1,6.9899
27,DOGE/USDT,LONG,0.07512,0.07232171,0.08071657,0.08351486,85,1h,ICT,LOSS,2026-07-02 14:00:57,2026-07-08 07:01:09,0.07232171,-3.73,0,0.0
28,ETH/USDT,LONG,1703.0,1590.20085714,1928.59828571,2041.39742857,85,4h,ICT,OPEN,2026-07-02 22:00:55,,,,0,0.0
29,ZEC/USDT,SHORT,427.63,438.00071429,406.88857143,396.51785714,100,1h,ICT,LOSS,2026-07-03 04:00:54,2026-07-03 07:01:00,438.00071429,-2.43,0,0.0
30,ADA/USDT,LONG,0.16645,0.16645,0.19561886,0.21020329,85,4h,ICT,WIN,2026-07-03 04:00:54,2026-07-08 09:01:14,0.16645,8.76,1,8.762
31,HBAR/USDT,LONG,0.07186,0.07098886,0.07360229,0.07447343,98,1h,ICT,WIN,2026-07-03 15:00:58,2026-07-03 21:00:54,0.07360229,2.42,0,0.0
32,XRP/USDT,LONG,1.1325,1.07507857,1.24734286,1.30476429,100,4h,ICT,LOSS,2026-07-03 21:00:54,2026-07-08 15:01:22,1.07507857,-5.07,0,0.0
33,HBAR/USDT,SHORT,0.07234,0.07341686,0.07018629,0.06910943,100,1h,ICT,LOSS,2026-07-04 07:00:53,2026-07-04 10:00:53,0.07341686,-1.49,0,0.0
34,SUI/USDT,SHORT,0.7506,0.7506,0.69797429,0.64534857,92,1h,ICT,WIN,2026-07-05 01:00:57,2026-07-11 06:00:52,0.7506,3.51,1,3.5056
35,AAVE/USDT,SHORT,87.63,88.15114286,86.58771429,85.54542857,98,4h,ICT,LOSS,2026-07-06 04:01:02,2026-07-06 04:15:43,88.15114286,-0.59,0,0.0
36,AAVE/USDT,SHORT,87.63,88.15114286,86.58771429,85.54542857,98,4h,ICT,LOSS,2026-07-06 04:15:44,2026-07-06 04:30:53,88.15114286,-0.59,0,0.0
37,AAVE/USDT,SHORT,87.63,88.15114286,86.58771429,85.54542857,98,4h,ICT,LOSS,2026-07-06 04:30:54,2026-07-06 04:45:34,88.15114286,-0.59,0,0.0
38,AAVE/USDT,SHORT,87.63,88.15114286,86.58771429,85.54542857,98,4h,ICT,LOSS,2026-07-06 04:45:35,2026-07-06 10:01:09,88.15114286,-0.59,0,0.0
39,SKY/USDT,SHORT,0.056177,0.05690901,0.05471297,0.05324894,97,1h,ICT,LOSS,2026-07-06 08:00:57,2026-07-06 13:01:03,0.05690901,-1.3,0,0.0
40,ZEC/USDT,SHORT,443.34,468.47714286,393.06571429,342.79142857,100,4h,ICT,LOSS,2026-07-06 12:01:06,2026-07-07 15:01:17,468.47714286,-5.67,0,0.0
41,ETH/USDT,SHORT,1741.32,1780.489,1662.982,1584.644,100,1h,ICT,LOSS,2026-07-06 13:01:04,2026-07-06 16:01:03,1780.489,-2.25,0,0.0
42,XRP/USDT,SHORT,1.1157,1.15202429,1.04305143,0.97040286,100,1h,ICT,LOSS,2026-07-06 13:01:04,2026-07-06 17:01:09,1.15202429,-3.26,0,0.0
43,ADA/USDT,SHORT,0.17917,0.18674257,0.16402486,0.14887971,100,1h,ICT,LOSS,2026-07-06 13:01:04,2026-07-06 22:01:07,0.18674257,-4.23,0,0.0
44,DOGE/USDT,SHORT,0.07532,0.07741557,0.07112886,0.06693771,97,1h,ICT,LOSS,2026-07-06 14:02:52,2026-07-06 22:01:07,0.07741557,-2.78,0,0.0
45,AVAX/USDT,SHORT,6.804,6.96168571,6.48862857,6.17325714,88,1h,ICT,LOSS,2026-07-06 14:02:52,2026-07-06 17:01:09,6.96168571,-2.32,0,0.0
46,ADA/USDT,SHORT,0.17737,0.17737,0.16888657,0.16040314,100,1h,ICT,OPEN,2026-07-07 11:01:11,,,,1,2.3915
47,DOGE/USDT,SHORT,0.07312,0.07478857,0.06978286,0.06644571,97,1h,ICT,LOSS,2026-07-08 02:01:11,2026-07-11 14:01:09,0.07478857,-2.28,0,0.0
48,BTC/USDT,SHORT,62989.9,63843.06528571,61283.56942857,59577.23885714,92,1h,ICT,LOSS,2026-07-08 03:01:13,2026-07-10 02:00:56,63843.06528571,-1.35,0,0.0
